,wd_mean,wd_max,wd_min,wd_std,wd_var,wd_am_mean,wd_am_max,wd_am_min,wd_pm_mean,wd_pm_max,wd_pm_min,wd_night_mean,wd_night_max,wd_night_min,we_mean,we_max,we_min,we_std,we_var,we_am_mean,we_am_max,we_am_min,we_pm_mean,we_pm_max,we_pm_min,we_night_mean,we_night_max,we_night_min
0,53.9,65.1,31.0,11.5,132.3,51.4,64.4,31.0,64.4,65.1,63.3,46.0,59.6,35.3,44.3,51.2,30.5,6.4,40.4,40.0,49.6,30.5,49.9,51.2,48.3,43.0,48.4,35.5
1,61.9,71.9,40.9,10.3,106.6,59.2,71.0,40.9,71.2,71.9,70.2,55.2,67.4,45.0,54.3,60.9,40.9,6.2,39.0,49.8,59.3,40.9,59.7,60.9,58.3,53.3,58.7,45.6
2,69.9,77.5,53.5,7.9,62.9,67.7,76.8,53.5,77.0,77.5,76.2,64.8,74.1,56.9,64.0,69.1,53.4,4.9,24.0,60.5,67.8,53.4,68.2,69.1,67.3,63.3,67.6,57.3
3,45.9,58.9,20.7,13.0,169.9,43.6,58.1,20.7,57.8,58.9,56.2,36.3,51.5,24.7,34.8,42.7,20.0,6.9,48.2,30.6,41.2,20.0,41.2,42.7,39.0,32.6,38.4,24.9
4,32.8,46.1,9.4,13.2,173.7,32.2,45.7,9.4,44.5,46.1,42.9,21.7,36.9,11.6,21.1,27.8,8.5,6.0,35.6,18.3,27.1,8.5,26.5,27.8,24.5,18.5,23.6,12.8
5,79.1,83.8,68.7,4.9,24.4,77.7,83.4,68.7,83.6,83.8,83.2,76.1,82.0,71.2,75.5,78.5,68.8,3.0,9.3,73.3,77.8,68.8,78.1,78.5,77.7,75.2,77.8,71.5
6,52.5,53.1,51.5,0.4,0.2,52.4,53.1,51.5,52.5,53.0,52.0,52.7,53.0,52.6,53.8,54.2,52.9,0.3,0.1,53.5,53.9,52.9,53.8,54.2,53.5,54.0,54.1,53.8
7,48.0,75.9,23.6,15.5,240.6,59.1,75.9,37.8,33.2,38.9,23.6,51.7,71.0,39.1,44.2,74.3,22.6,17.4,302.0,56.0,74.3,31.9,27.5,33.9,22.6,49.2,70.3,35.0
8,37.5,56.5,5.3,19.0,360.2,37.3,56.1,5.3,54.3,56.5,49.8,20.8,42.6,5.3,23.0,35.4,4.2,9.9,98.8,20.1,34.3,4.2,31.7,35.4,27.0,17.2,25.8,6.7
9,38.5,41.3,34.8,1.9,3.5,38.5,40.8,36.5,38.8,41.3,34.8,38.1,40.4,36.8,34.8,39.0,31.0,2.4,5.7,33.9,36.1,31.2,33.5,36.2,31.0,37.0,39.0,35.4
10,19.8,47.2,5.0,12.5,156.2,22.6,44.1,8.7,11.2,15.5,5.0,25.5,47.2,13.5,16.9,48.8,2.7,13.6,186.3,15.8,39.7,3.2,8.3,13.8,2.7,26.7,48.8,12.1
11,14.1,18.0,9.4,2.6,6.7,15.9,18.0,13.1,15.4,16.5,13.5,11.1,13.2,9.4,10.6,12.3,8.8,1.1,1.2,11.5,12.3,9.9,10.2,10.8,9.5,10.0,12.1,8.8
12,71.7,80.6,61.3,5.2,27.2,74.7,80.6,68.4,67.1,70.2,61.3,73.2,79.7,68.4,66.1,79.0,52.5,8.1,65.3,68.4,79.0,56.1,59.4,65.3,52.5,70.5,79.0,64.6
