,PLN_AREA,CAR_PARK_NO,CAR_PARK_TYPE,TOTAL_LOTS,WD,WE,WDWE,labels
0,PASIR RIS,PDR2,SURFACE/MULTI-STOREY CAR PARK,222,"[92.64, 89.62, 76.73, 68.96, 67.25, 55.73, 31.6, 9.65, 41.06, 52.78, 54.46, 50.19, 42.48, 32.17, 38.17, 58.66, 75.31, 81.54]","[91.16, 87.9, 77.19, 57.38, 40.77, 29.0, 22.74, 20.21, 32.32, 36.77, 41.46, 47.97, 34.46, 32.6, 37.99, 58.78, 72.41, 76.92]","[92.64, 89.62, 76.73, 68.96, 67.25, 55.73, 31.6, 9.65, 41.06, 52.78, 54.46, 50.19, 42.48, 32.17, 38.17, 58.66, 75.31, 81.54, 91.16, 87.9, 77.19, 57.38, 40.77, 29.0, 22.74, 20.21, 32.32, 36.77, 41.46, 47.97, 34.46, 32.6, 37.99, 58.78, 72.41, 76.92]",
1,PASIR RIS,PDR6,MULTI-STOREY CAR PARK,248,"[92.61, 88.44, 76.46, 71.54, 70.18, 68.31, 61.98, 62.33, 69.07, 70.53, 71.27, 71.86, 66.61, 59.56, 60.56, 68.11, 79.19, 86.19]","[88.61, 85.54, 75.7, 63.16, 55.54, 53.18, 48.14, 56.1, 59.88, 62.9, 62.03, 62.13, 59.83, 56.8, 56.52, 66.03, 74.39, 79.54]","[92.61, 88.44, 76.46, 71.54, 70.18, 68.31, 61.98, 62.33, 69.07, 70.53, 71.27, 71.86, 66.61, 59.56, 60.56, 68.11, 79.19, 86.19, 88.61, 85.54, 75.7, 63.16, 55.54, 53.18, 48.14, 56.1, 59.88, 62.9, 62.03, 62.13, 59.83, 56.8, 56.52, 66.03, 74.39, 79.54]",12.0
2,PASIR RIS,PDR7,SURFACE/MULTI-STOREY CAR PARK,169,"[70.51, 66.03, 56.92, 49.1, 46.87, 44.49, 30.94, 19.43, 25.88, 24.06, 21.09, 14.18, 10.73, 7.26, 9.49, 7.95, 8.33, 6.97]","[61.61, 59.1, 53.62, 38.39, 27.81, 27.88, 10.13, 7.47, 15.68, 13.98, 14.1, 11.51, 3.92, 3.77, 5.62, 6.81, 5.99, 5.4]","[70.51, 66.03, 56.92, 49.1, 46.87, 44.49, 30.94, 19.43, 25.88, 24.06, 21.09, 14.18, 10.73, 7.26, 9.49, 7.95, 8.33, 6.97, 61.61, 59.1, 53.62, 38.39, 27.81, 27.88, 10.13, 7.47, 15.68, 13.98, 14.1, 11.51, 3.92, 3.77, 5.62, 6.81, 5.99, 5.4]",
3,PASIR RIS,PM10,MULTI-STOREY CAR PARK,355,"[13.4, 25.2, 41.02, 51.66, 57.08, 58.23, 60.61, 61.36, 62.05, 60.3, 60.38, 58.94, 54.2, 44.42, 38.11, 32.32, 27.64, 21.93]","[12.5, 16.02, 22.64, 30.28, 38.45, 42.36, 46.02, 45.64, 44.33, 43.88, 44.81, 44.17, 44.23, 41.72, 38.03, 32.22, 26.41, 21.23]","[13.4, 25.2, 41.02, 51.66, 57.08, 58.23, 60.61, 61.36, 62.05, 60.3, 60.38, 58.94, 54.2, 44.42, 38.11, 32.32, 27.64, 21.93, 12.5, 16.02, 22.64, 30.28, 38.45, 42.36, 46.02, 45.64, 44.33, 43.88, 44.81, 44.17, 44.23, 41.72, 38.03, 32.22, 26.41, 21.23]",3.0
4,PASIR RIS,PM11,MULTI-STOREY CAR PARK,227,"[36.14, 44.78, 55.07, 61.9, 63.93, 65.5, 66.5, 65.19, 67.28, 67.03, 66.07, 65.73, 63.51, 58.74, 53.32, 49.59, 44.19, 40.62]","[37.33, 37.89, 42.73, 48.35, 51.87, 55.12, 56.39, 55.01, 56.72, 55.73, 54.31, 52.99, 54.96, 54.13, 50.44, 47.91, 45.26, 41.36]","[36.14, 44.78, 55.07, 61.9, 63.93, 65.5, 66.5, 65.19, 67.28, 67.03, 66.07, 65.73, 63.51, 58.74, 53.32, 49.59, 44.19, 40.62, 37.33, 37.89, 42.73, 48.35, 51.87, 55.12, 56.39, 55.01, 56.72, 55.73, 54.31, 52.99, 54.96, 54.13, 50.44, 47.91, 45.26, 41.36]",1.0
5,PASIR RIS,PM12,MULTI-STOREY CAR PARK,173,"[37.64, 43.57, 52.08, 60.72, 64.91, 61.38, 66.02, 65.82, 67.61, 67.53, 66.98, 67.82, 64.06, 60.74, 56.47, 53.19, 46.92, 42.21]","[37.79, 38.29, 42.63, 47.69, 52.46, 56.72, 58.82, 57.08, 53.76, 53.68, 53.61, 53.71, 54.34, 55.64, 53.66, 51.01, 46.24, 41.4]","[37.64, 43.57, 52.08, 60.72, 64.91, 61.38, 66.02, 65.82, 67.61, 67.53, 66.98, 67.82, 64.06, 60.74, 56.47, 53.19, 46.92, 42.21, 37.79, 38.29, 42.63, 47.69, 52.46, 56.72, 58.82, 57.08, 53.76, 53.68, 53.61, 53.71, 54.34, 55.64, 53.66, 51.01, 46.24, 41.4]",1.0
6,PASIR RIS,PM13,MULTI-STOREY CAR PARK,435,"[15.79, 26.44, 41.31, 49.82, 56.26, 58.82, 60.26, 60.62, 59.94, 60.01, 57.78, 56.55, 52.92, 46.23, 39.28, 33.47, 27.45, 21.86]","[17.3, 20.29, 25.64, 33.39, 39.34, 45.95, 46.98, 47.01, 44.6, 42.96, 42.45, 40.96, 43.88, 42.36, 49.0, 41.09, 27.88, 22.85]","[15.79, 26.44, 41.31, 49.82, 56.26, 58.82, 60.26, 60.62, 59.94, 60.01, 57.78, 56.55, 52.92, 46.23, 39.28, 33.47, 27.45, 21.86, 17.3, 20.29, 25.64, 33.39, 39.34, 45.95, 46.98, 47.01, 44.6, 42.96, 42.45, 40.96, 43.88, 42.36, 49.0, 41.09, 27.88, 22.85]",3.0
7,PASIR RIS,PM14,MULTI-STOREY CAR PARK,428,"[37.92, 44.5, 56.68, 64.76, 68.78, 70.4, 72.75, 73.54, 74.08, 73.13, 72.85, 71.64, 70.2, 63.99, 57.73, 52.68, 47.93, 43.71]","[38.7, 41.94, 46.41, 51.96, 54.96, 57.83, 60.13, 62.0, 61.27, 61.24, 59.96, 59.98, 60.16, 58.97, 55.61, 53.1, 48.31, 44.74]","[37.92, 44.5, 56.68, 64.76, 68.78, 70.4, 72.75, 73.54, 74.08, 73.13, 72.85, 71.64, 70.2, 63.99, 57.73, 52.68, 47.93, 43.71, 38.7, 41.94, 46.41, 51.96, 54.96, 57.83, 60.13, 62.0, 61.27, 61.24, 59.96, 59.98, 60.16, 58.97, 55.61, 53.1, 48.31, 44.74]",1.0
8,PASIR RIS,PM16,MULTI-STOREY CAR PARK,245,"[29.5, 39.6, 54.53, 60.64, 64.76, 66.13, 67.54, 66.96, 66.56, 65.01, 63.26, 62.91, 61.06, 55.77, 48.93, 43.85, 38.97, 34.5]","[29.8, 32.75, 39.33, 46.99, 52.14, 57.8, 58.88, 60.41, 60.51, 57.3, 55.78, 54.95, 55.31, 53.93, 51.22, 47.5, 41.28, 36.69]","[29.5, 39.6, 54.53, 60.64, 64.76, 66.13, 67.54, 66.96, 66.56, 65.01, 63.26, 62.91, 61.06, 55.77, 48.93, 43.85, 38.97, 34.5, 29.8, 32.75, 39.33, 46.99, 52.14, 57.8, 58.88, 60.41, 60.51, 57.3, 55.78, 54.95, 55.31, 53.93, 51.22, 47.5, 41.28, 36.69]",0.0
9,PASIR RIS,PM17,MULTI-STOREY CAR PARK,398,"[30.25, 40.85, 53.28, 62.24, 65.62, 68.02, 69.88, 70.27, 70.74, 68.58, 67.32, 66.93, 63.49, 56.89, 50.28, 46.06, 42.1, 35.92]","[24.65, 27.35, 33.42, 39.01, 44.13, 48.21, 55.47, 50.47, 49.78, 48.37, 47.74, 48.31, 47.64, 45.82, 44.56, 40.96, 40.23, 36.78]","[30.25, 40.85, 53.28, 62.24, 65.62, 68.02, 69.88, 70.27, 70.74, 68.58, 67.32, 66.93, 63.49, 56.89, 50.28, 46.06, 42.1, 35.92, 24.65, 27.35, 33.42, 39.01, 44.13, 48.21, 55.47, 50.47, 49.78, 48.37, 47.74, 48.31, 47.64, 45.82, 44.56, 40.96, 40.23, 36.78]",0.0
